City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,liberia,6.5,-9.5,22.09,99,100,0.83,LR,1726462702
299,forster,-32.1667,152.5167,21.32,29,0,3.63,AU,1726462703
300,tokar,18.4254,37.729,34.62,36,22,8.02,SD,1726462705
301,mariana,-20.3778,-43.4161,15.84,72,6,1.42,BR,1726462706
302,cova figueira,14.8905,-24.2934,20.23,84,52,3.96,CV,1726462707
303,coxim,-18.5067,-54.76,24.05,66,3,2.44,BR,1726462708
304,champerico,14.3,-91.9167,28.1,81,100,2.18,GT,1726462709
305,luderitz,-26.6481,15.1594,11.13,76,0,7.27,NA,1726462710
306,viedma,-40.8135,-62.9967,8.7,31,10,4.54,AR,1726462712
307,carbonear,47.7332,-53.2148,8.89,89,45,2.62,CA,1726462713
308,san antonio oeste,-40.7319,-64.9477,13.54,33,11,5.2,AR,1726462714
309,vianopolis,-16.7419,-48.5164,20.69,31,0,1.89,BR,1726462715
310,zhangjiakou,40.81,114.8794,15.99,90,100,1.85,CN,1726462716
311,taulaga,-11.0553,-171.0883,27.86,79,96,5.48,AS,1726462717
312,arno,60.1167,18.6333,9.84,65,66,0.47,SE,1726462718
313,jamestown,42.097,-79.2353,17.8,92,0,2.06,US,1726462719
314,lepsy,46.235,78.9456,18.83,31,36,6.56,KZ,1726462720
315,port lincoln,-34.7333,135.8667,12.82,60,5,4.72,AU,1726462722
316,cam ranh,11.9214,109.1591,31.98,66,20,4.12,VN,1726462723
317,belel,7.05,14.4333,15.86,83,100,0.96,CM,1726462724
318,lichinga,-13.3128,35.2406,15.05,67,0,4.12,MZ,1726462725
319,kajuru,10.3192,7.6892,20.62,98,61,1.24,NG,1726462726
320,auki,-8.7676,160.7034,28.5,72,21,2.16,SB,1726462727
321,zhezqazghan,47.7833,67.7667,17.32,55,0,10.0,KZ,1726462728
322,polavaram,17.2467,81.6439,31.12,67,99,5.11,IN,1726462729
323,nago,26.5881,127.9761,29.6,82,64,6.52,JP,1726462731
324,lahat,-3.8,103.5333,33.23,44,65,1.77,ID,1726462732
325,inongo,-1.95,18.2667,20.04,98,83,2.42,CD,1726462733
326,caleta de carquin,-11.0925,-77.6267,16.2,85,27,2.86,PE,1726462734
327,youhao,47.8667,128.8333,21.58,38,100,3.13,CN,1726462735
328,brokopondo,4.75,-55.1667,25.68,80,16,4.04,SR,1726462736
329,labrador city,52.9463,-66.9114,17.95,77,100,4.12,CA,1726462738
330,inverell,-29.7833,151.1167,19.5,29,0,3.13,AU,1726462739
331,ibeto,10.4854,5.145,23.89,94,77,0.52,NG,1726462741
332,mugia,43.1041,-9.2179,13.84,57,46,9.24,ES,1726462742
333,valderice,38.0401,12.6151,15.5,88,75,2.57,IT,1726462743
334,usogorsk,63.4106,48.6872,16.78,72,86,2.16,RU,1726462744
335,sechura,-5.5569,-80.8222,16.9,84,6,4.45,PE,1726462745
336,san bernardo del viento,9.3533,-75.9524,28.28,86,8,2.13,CO,1726462746
337,al wakrah,24.85,51.3333,31.05,35,0,2.91,QA,1726462747
338,antofagasta,-23.65,-70.4,13.6,72,8,1.2,CL,1726462748
339,inyonga,-6.7167,32.0667,19.34,36,6,2.99,TZ,1726462749
340,gryazovets,58.88,40.2525,15.48,68,71,2.4,RU,1726462751
341,oppdal,62.5943,9.6912,8.79,94,100,0.38,NO,1726462752
342,utrik,11.2278,169.8474,28.74,74,72,3.86,MH,1726462753
343,sorong,-0.8833,131.25,30.24,72,83,5.76,ID,1726462754
344,egilsstadir,65.2653,-14.3948,-0.05,74,0,1.54,IS,1726462755
345,karamay,45.6004,84.8661,19.95,28,0,2.75,CN,1726462756
346,lautoka,-17.6167,177.4667,27.92,69,40,4.63,FJ,1726462757
347,homer,59.6425,-151.5483,12.11,71,100,6.26,US,1726462758
348,ceylanpinar,36.8472,40.05,24.19,62,1,6.6,TR,1726462759
349,nadym,65.5333,72.5167,14.62,68,20,7.93,RU,1726462761
350,markivka,49.5229,39.5705,20.1,36,0,7.22,UA,1726462762
351,nagqu,31.5,92.0,14.16,41,41,2.7,CN,1726462763
352,sitka,57.0531,-135.33,13.94,88,100,4.63,US,1726462764
353,saint-joseph,-21.3667,55.6167,24.21,67,39,5.02,RE,1726462765
354,granbury,32.4421,-97.7942,24.65,83,4,0.45,US,1726462766
355,savyntsi,49.4026,37.0627,19.06,37,0,6.9,UA,1726462767
356,port shepstone,-30.7414,30.455,18.25,87,99,0.77,ZA,1726462768
357,inzhavino,52.3185,42.4937,18.91,48,2,5.06,RU,1726462769
358,pariaman,-0.619,100.12,29.03,78,80,3.22,ID,1726462771
359,dingwall,57.5953,-4.4272,7.16,96,98,1.77,GB,1726462772
360,arraial do cabo,-22.9661,-42.0278,21.33,93,4,6.46,BR,1726462773
361,mahdia,35.5047,11.0622,19.7,65,0,5.06,TN,1726462774
362,palembang,-2.9167,104.7458,33.69,42,76,2.64,ID,1726462775
363,kone,-21.0595,164.8658,21.65,54,82,4.35,NC,1726462776
364,tobelo,1.7284,128.0095,31.27,62,77,4.63,ID,1726462777
